"subregion","bachmann","cain","gingrich","huntsman","johnson","paul","perry","romney","santorum","ballotsCast"
"alachua",49,72,6332,78,16,1968,91,6229,2413,17278
"baker",7,10,1272,3,1,137,16,812,409,2667
"bay",46,35,7650,34,11,1788,87,7707,3768,21131
"bradford",6,3,1127,3,0,144,9,704,474,2470
"brevard",150,156,24261,372,58,5660,305,31474,11256,73726
"broward",193,110,22030,352,81,4825,328,35818,8614,72737
"calhoun",2,5,286,5,0,49,7,180,153,687
"charlotte",34,36,7001,50,9,1508,54,9048,2884,20631
"citrus",66,44,7564,90,9,1633,117,8842,2901,21278
"clay",36,62,12258,29,9,1395,62,10488,4078,28423
"collier",68,91,13086,209,27,2077,147,29108,6093,56448
"columbia",11,21,2388,8,2,378,35,1929,1036,5808
"desoto",3,1,578,2,2,95,2,524,263,1470
"dixie",1,3,485,0,1,45,6,236,108,885
"duval",206,226,34120,200,45,5762,331,35490,11710,88110
"escambia",111,90,14675,143,21,3553,194,13124,5893,37869
"flagler",21,23,3770,25,7,540,32,5043,1358,10832
"franklin",4,1,340,1,0,45,3,223,94,711
"gadsden",11,6,736,5,4,165,20,596,440,1983
"gilchrist",4,15,774,3,0,147,11,455,358,1767
"glades",1,0,297,0,0,35,3,237,113,686
"gulf",3,3,665,2,0,66,6,377,239,1361
"hamilton",0,5,359,5,0,57,7,137,67,637
"hardee",4,8,478,3,3,105,7,397,186,1191
"hendry",5,3,650,3,1,115,12,628,258,1677
"hernando",37,23,6443,23,12,1582,37,7928,2608,18693
"highlands",26,13,3793,10,4,520,27,4559,1574,10528
"hillsborough",135,137,25544,185,61,6954,262,43163,14132,91245
"holmes",4,4,697,0,0,81,15,323,242,1366
"indian river",32,38,6066,80,11,1218,68,11953,2660,22134
"jackson",6,11,1547,5,7,179,23,755,624,3159
"jefferson",3,4,440,0,0,75,0,322,216,1060
"lafayette",1,1,259,0,1,27,4,128,87,508
"lake",134,132,14452,146,38,2256,237,18379,4955,40756
"lee",121,100,22466,232,35,4262,191,35207,10853,73467
"leon",84,47,6572,133,31,2219,121,8351,4768,22326
"levy",8,16,1647,11,2,252,22,1089,596,3643
"liberty",1,0,74,0,0,14,1,43,39,173
"madison",4,1,492,0,2,68,5,266,209,1047
"manatee",193,76,10629,203,37,2483,204,18598,6318,38766
"marion",157,148,14998,156,32,2613,252,19880,5239,43511
"martin",48,27,6570,188,26,1917,93,12906,3104,24890
"miami-dade",360,251,30415,518,114,5568,660,69687,7137,116329
"monroe",32,36,2600,47,13,721,45,4067,792,8353
"nassau",16,32,5120,15,10,717,35,4662,1563,12174
"okaloosa",76,84,10668,97,16,2912,161,10874,4710,29632
"okeechobee",4,3,874,3,0,125,12,717,489,2227
"orange",141,199,25305,256,69,5429,270,36701,8692,77062
"osceola",58,43,5056,48,7,1021,76,5907,1862,14087
"palm beach",119,80,23175,193,35,5596,140,45283,8565,239198
"pasco",149,79,13071,129,28,3878,170,19195,6748,43469
"pinellas",349,230,24515,949,146,10799,708,50799,15465,104213
"polk",86,104,16185,119,22,3291,174,20594,8197,48782
"putnam",16,19,2705,17,3,358,26,1874,835,5856
"santa rosa",34,50,9324,55,12,2097,76,7539,3639,22852
"sarasota",130,59,15163,257,26,3904,145,28338,7664,55713
"seminole",110,135,15991,189,33,3293,169,22831,5578,48329
"st. johns",28,68,11612,37,7,1704,47,16193,4392,34103
"st. lucie",54,34,6825,111,14,1958,115,10935,3311,23357
"sumter",29,32,6375,23,5,534,39,11618,1807,20470
"suwannee",17,13,1682,3,3,304,31,912,704,3669
"taylor",7,7,627,1,1,112,29,349,225,1358
"union",2,2,335,0,0,52,2,243,142,778
"volusia",64,94,15070,104,21,2779,111,18649,4976,41875
"wakulla",12,8,862,6,0,203,20,546,521,2178
"walton",18,18,3453,16,4,767,29,3002,1199,8507
"washington",20,14,1161,9,0,276,29,888,605,3023
