County, totalVoters, ballotsCast, Bachmann, Cain, Gingrich, Huntsman, Johnson, Paul, Perry, Romney, Santorum
Abbeville , 14586 , 3049 , 2 ,16 ,1301 ,1 ,1 ,675 ,22 ,545 ,476
Aiken , 99859 , 24449 , 25 ,207 ,12026 ,64 ,4 ,2422 ,81 ,6211 ,3337
Allendale , 5946 , 349 , 4 ,4 ,178 ,0 ,0 ,24 ,5 ,91 ,42
Anderson , 107035 , 27527 , 9 ,178 ,11969 ,32 ,6 ,4707 ,120 ,5926 ,4508
Bamberg , 8986 , 1000 , 3 ,7 ,512 ,2 ,1 ,82 ,7 ,262 ,118
Barnwell , 13373 , 1965 , 2 ,9 ,1074 ,2 ,0 ,141 ,15 ,439 ,273
Beaufort , 102814 , 27413 , 23 ,325 ,9652 ,134 ,13 ,1884 ,73 ,11736 ,3477
Berkeley , 98949 , 21051 , 19 ,229 ,7684 ,29 ,9 ,2768 ,94 ,5613 ,4528
Calhoun , 10403 , 1890 , 0 ,13 ,837 ,4 ,2 ,271 ,6 ,475 ,274
Charleston , 235061 , 47111 , 25 ,1090 ,15310 ,125 ,14 ,6540 ,130 ,16929 ,6850
Cherokee , 31493 , 6894 , 5 ,26 ,2898 ,7 ,2 ,1119 ,52 ,1301 ,1468
Chester , 20171 , 2785 , 4 ,22 ,1329 ,3 ,3 ,293 ,12 ,541 ,572
Chesterfield , 23621 , 3217 , 2 ,6 ,1566 ,6 ,1 ,244 ,26 ,700 ,646
Clarendon , 22916 , 3567 , 1 ,15 ,1726 ,1 ,2 ,272 ,16 ,995 ,511
Colleton , 23671 , 4339 , 6 ,33 ,2036 ,8 ,1 ,436 ,39 ,973 ,785
Darlington , 41214 , 6958 , 9 ,39 ,3383 ,10 ,4 ,686 ,30 ,1661 ,1108
Dillon , 19905 , 1961 , 5 ,12 ,1061 ,1 ,0 ,129 ,8 ,412 ,323
Dorchester , 82927 , 17983 , 21 ,199 ,6592 ,30 ,10 ,2298 ,77 ,4927 ,3777
Edgefield , 15708 , 3500 , 2 ,20 ,2103 ,2 ,1 ,293 ,11 ,645 ,412
Fairfield , 15490 , 2286 , 2 ,8 ,942 ,2 ,1 ,254 ,18 ,661 ,388
Florence , 81236 , 14934 , 20 ,82 ,7639 ,24 ,7 ,1212 ,72 ,3532 ,2292
Georgetown , 41003 , 9673 , 8 ,91 ,4388 ,30 ,4 ,682 ,40 ,3242 ,1148
Greenville , 278185 , 77452 , 49 ,792 ,30662 ,136 ,36 ,12142 ,247 ,19629 ,13577
Greenwood , 39138 , 9090 , 7 ,58 ,3855 ,9 ,3 ,1505 ,77 ,2149 ,1397
Hampton , 13040 , 1150 , 1 ,8 ,580 ,1 ,1 ,92 ,13 ,266 ,179
Horry , 165780 , 40803 , 39 ,371 ,18569 ,64 ,13 ,3980 ,188 ,12199 ,5248
Jasper , 13804 , 1847 , 3 ,21 ,857 ,5 ,1 ,114 ,12 ,532 ,293
Kershaw , 38582 , 8675 , 6 ,41 ,3278 ,8 ,0 ,1240 ,35 ,2676 ,1369
Lancaster , 45833 , 8983 , 5 ,59 ,3865 ,11 ,2 ,863 ,41 ,2026 ,2072
Laurens , 37120 , 7939 , 12 ,41 ,3297 ,13 ,0 ,1444 ,37 ,1580 ,1458
Lee , 12207 , 1327 , 1 ,5 ,591 ,1 ,2 ,156 ,10 ,319 ,227
Lexington , 159055 , 44094 , 28 ,357 ,16070 ,67 ,17 ,5843 ,169 ,13496 ,7921
Marion , 22126 , 2248 , 2 ,7 ,1169 ,6 ,0 ,193 ,2 ,574 ,285
Marlboro , 17471 , 1315 , 6 ,6 ,626 ,4 ,0 ,101 ,12 ,307 ,243
McCormick , 6704 , 1536 , 1 ,5 ,775 ,5 ,1 ,103 ,11 ,488 ,144
Newberry , 22100 , 4827 , 1 ,18 ,2060 ,9 ,1 ,624 ,31 ,1371 ,698
Oconee , 44844 , 12923 , 11 ,164 ,4860 ,33 ,2 ,2051 ,78 ,3462 ,2221
Orangeburg , 60889 , 6158 , 6 ,30 ,2888 ,9 ,1 ,695 ,29 ,1592 ,876
Pickens , 64154 , 18848 , 12 ,197 ,7894 ,36 ,8 ,3295 ,83 ,3950 ,3322
Richland , 235025 , 35444 , 25 ,779 ,11145 ,117 ,14 ,4510 ,124 ,13417 ,5227
Saluda , 11397 , 2686 , 1 ,10 ,1268 ,3 ,1 ,282 ,15 ,635 ,460
Spartanburg , 159515 , 38308 , 29 ,330 ,15308 ,51 ,12 ,5917 ,170 ,8506 ,7893
Sumter , 64467 , 9326 , 10 ,63 ,3648 ,10 ,3 ,939 ,53 ,2974 ,1589
Union , 17464 , 2890 , 2 ,14 ,1309 ,6 ,0 ,459 ,27 ,498 ,559
Williamsburg , 22150 , 2266 , 5 ,6 ,1275 ,3 ,1 ,134 ,16 ,496 ,311
York , 136814 , 31674 , 32 ,325 ,12058 ,49 ,6 ,4248 ,100 ,7193 ,7600
